"","GS1","GS2","GS3","GS4","GS5","GS6","GS7","GS8","GS9","GS10","GS11","GS12"
"1",1,1,3,3,3,2,3,1,3,2,3,3
"4",1,3,4,2,4,1,5,4,1,1,3,1
"5",1,2,3,3,2,2,2,4,3,3,4,4
"6",1,2,5,1,3,1,4,5,2,3,2,2
"8",3,1,1,4,1,3,4,4,3,3,2,3
"9",1,3,3,1,4,1,5,4,2,1,3,1
"11",2,3,2,2,4,2,4,4,2,3,4,2
"13",3,1,1,4,1,3,1,2,4,4,1,1
"14",3,4,5,3,5,2,5,4,1,1,4,2
"15",3,2,1,2,1,3,1,1,3,4,1,3
"16",1,2,2,2,1,5,1,1,4,4,2,4
"17",4,2,3,5,3,4,1,2,4,4,3,3
"18",1,2,5,1,3,1,4,5,2,3,2,2
"19",3,1,4,5,2,1,3,3,2,2,3,1
"20",3,2,4,4,4,1,2,5,1,2,2,1
"22",1,4,4,4,4,2,4,5,1,1,2,2
"23",4,2,3,5,2,2,3,1,5,5,3,3
"25",3,2,1,4,2,1,3,4,2,1,2,1
"27",1,2,1,1,1,1,1,3,3,4,2,3
"29",1,4,3,2,3,2,4,4,2,1,2,1
"30",3,2,3,3,2,2,3,2,4,1,2,2
"31",1,3,3,1,2,2,2,2,3,1,2,2
"32",1,4,3,2,2,1,1,4,1,2,4,3
"33",2,3,4,2,3,1,4,3,2,2,4,2
"34",2,2,2,4,3,1,2,0,1,4,2,4
"35",2,4,4,2,4,2,4,4,2,2,3,2
"36",2,3,1,4,1,2,1,2,3,2,1,2
"37",1,1,2,3,1,3,2,1,4,4,2,2
"39",4,5,5,3,5,1,5,5,1,3,4,2
"40",4,1,2,2,1,5,1,1,5,4,2,4
"41",2,3,1,3,1,3,1,2,4,3,2,3
"43",4,2,1,1,1,2,1,2,2,5,3,3
"44",2,2,3,1,3,2,4,2,3,4,2,1
"45",3,2,4,5,3,2,5,1,4,4,5,2
"47",1,4,2,1,3,1,4,5,1,1,4,2
"48",3,4,2,2,4,5,4,3,3,4,3,4
"49",2,1,2,0,1,2,1,1,4,3,3,3
"50",1,3,4,2,3,1,4,5,1,1,4,1
"53",3,2,3,4,4,1,4,2,3,3,2,1
"54",1,5,3,1,3,1,5,4,1,1,1,1
"55",4,5,3,4,2,4,5,1,2,4,3,1
"56",2,4,4,4,4,1,4,4,3,5,2,2
"57",3,3,1,0,4,1,4,4,3,4,3,2
"58",3,1,3,4,2,1,2,1,4,2,2,2
"59",3,2,3,4,1,4,3,1,4,4,4,4
"60",1,2,4,1,4,1,5,4,1,1,4,1
"61",3,1,4,5,4,1,5,4,2,2,3,1
"62",2,2,3,3,2,1,2,2,4,4,2,3
"63",5,1,2,3,1,4,1,1,5,3,1,1
"64",3,2,4,3,1,4,2,1,4,5,3,2
"65",1,3,3,4,3,4,5,1,5,4,4,5
"66",1,3,4,4,3,1,4,5,1,1,3,1
"67",4,3,3,4,3,3,4,4,2,3,3,3
"68",2,3,4,3,4,1,4,3,2,3,5,1
"69",2,4,4,4,3,2,4,4,2,2,2,3
"71",1,1,2,4,1,2,4,4,3,1,4,2
"72",3,4,4,5,3,3,4,3,2,5,4,3
"73",3,3,2,4,3,4,3,2,2,3,3,1
"74",1,4,4,1,3,2,3,3,1,1,3,2
"75",1,4,5,2,5,1,5,5,1,1,5,1
"76",1,3,3,5,1,2,1,1,3,1,2,4
"78",3,2,3,3,2,4,2,1,4,2,4,4
"80",4,3,4,4,2,5,3,2,4,2,4,3
"82",2,3,1,3,3,3,2,4,5,3,4,3
"83",1,3,1,3,4,2,1,3,2,1,2,4
"85",2,2,1,3,3,1,3,1,3,4,3,3
"86",1,3,2,1,2,1,3,3,1,1,3,1
"87",1,2,1,5,1,4,2,1,5,5,1,2
"88",1,4,5,5,5,1,5,5,2,1,5,1
"89",2,2,3,2,5,2,3,5,2,1,3,2
"90",3,1,2,5,5,3,1,2,3,5,1,2
"91",2,3,3,3,4,1,4,4,3,3,3,1
"93",4,1,1,5,1,4,1,1,5,5,1,5
"94",3,3,4,4,1,1,4,3,1,1,4,1
"95",2,1,2,3,4,1,4,4,2,2,2,2
"96",2,3,3,4,3,1,5,3,1,2,2,2
"97",2,2,4,5,3,1,4,4,2,3,3,2
"98",3,3,4,3,3,3,3,1,1,4,2,3
"99",3,4,5,4,3,2,2,3,2,4,3,3
"100",2,3,2,1,4,1,2,5,1,5,3,1
"101",2,4,2,4,3,2,3,4,1,2,4,2
"102",1,4,3,1,4,1,4,2,1,3,1,2
"103",2,4,5,4,4,1,4,4,1,1,4,1
"104",2,4,3,2,3,2,2,2,2,4,3,4
"105",2,3,1,1,3,1,4,2,1,1,3,2
"106",2,2,3,4,3,2,3,4,2,4,3,2
"107",2,2,4,2,1,1,3,5,2,2,4,1
"108",3,4,1,2,3,3,2,4,2,1,2,1
"109",1,1,4,2,4,2,4,4,2,1,3,1
"110",1,3,4,4,5,2,5,5,1,1,2,2
"112",3,1,1,3,2,1,1,4,3,1,1,1
"114",3,2,3,4,2,3,4,3,3,2,4,3
"115",3,2,2,3,3,2,2,2,3,4,2,3
"116",3,2,2,4,1,3,1,3,5,4,3,4
"117",3,2,4,3,3,2,3,3,3,3,3,0
"118",1,1,4,1,2,1,3,5,3,1,1,2
"119",3,2,4,3,1,2,2,2,3,4,3,3
"120",2,3,3,4,4,1,4,4,2,1,4,1
"121",3,3,4,3,5,2,4,1,3,5,4,3
"123",2,3,4,2,4,1,4,4,2,2,4,1
"124",1,3,4,4,4,2,5,4,1,2,4,1
"125",2,2,4,3,2,5,2,3,3,3,3,4
"126",4,2,4,5,2,2,2,1,4,4,5,3
"127",3,2,2,4,2,1,2,2,2,2,3,3
"128",4,1,1,4,3,4,1,1,3,4,3,4
"129",2,2,3,3,2,2,4,2,3,4,3,4
"130",1,4,3,3,5,1,4,5,1,2,3,1
"132",3,3,2,4,3,2,2,2,3,4,3,3
"133",1,2,3,2,2,1,2,4,2,4,4,2
"134",1,1,1,3,1,2,1,1,2,1,1,2
"136",1,3,1,1,4,1,2,5,2,3,1,1
"137",1,3,4,2,3,2,3,3,2,3,4,1
"138",3,1,2,4,1,4,2,1,4,4,1,3
"139",3,2,1,3,4,1,3,3,1,4,3,3
"140",5,1,2,5,1,3,3,1,3,4,5,4
"142",3,1,4,4,3,2,4,4,3,4,3,1
"143",3,5,1,3,3,2,5,4,3,5,2,3
"144",4,1,3,2,3,3,3,3,4,3,1,3
"145",1,3,3,1,5,1,4,4,1,1,2,1
"146",2,2,2,4,2,2,3,1,3,3,2,3
"147",1,2,2,1,3,1,3,4,1,1,2,1
"148",1,1,2,2,3,1,3,3,2,2,1,1
"150",2,3,1,2,1,2,3,2,3,1,3,2
"151",1,1,3,3,5,1,5,3,1,1,2,2
"152",3,4,3,4,3,2,2,2,3,3,3,1
